"scenario";"year";"Ass";"Rule";"Rec";"INN";"OER";"Ftgt";"biomass_q95";"biomass_q50";"biomass_q05";"catch_q95";"catch_q50";"catch_q05";"catch.iyv_q95";"catch.iyv_q50";"catch.iyv_q05";"discards_q95";"discards_q50";"discards_q05";"disc.iyv_q95";"disc.iyv_q50";"disc.iyv_q05";"f_q95";"f_q50";"f_q05";"landings_q95";"landings_q50";"landings_q05";"land.iyv_q95";"land.iyv_q50";"land.iyv_q05";"rec_q95";"rec_q50";"rec_q05";"ssb_q95";"ssb_q50";"ssb_q05";"effort_q95";"effort_q50";"effort_q05";"tac_q95";"tac_q50";"tac_q05"
"ASSnone_HCR4_REClow_INNvar_OERnone_Ftgt0.064";2046;"ASSnone";"HCR4";"REClow";"INNvar";"OERnone";"Ftgt0.064";366074.177005551;278370.112126792;216498.28709417;22073.1308402015;16442.6905618127;12386.6156691224;1.24878364851113;0.986506372123849;0.841440678294198;0;0;0;NA;NA;NA;0.0716847850564419;0.0638666369633546;0.0534581378335259;22073.1308402015;16442.6905618127;12386.6156691224;1.24878364851113;0.986506372123849;0.841440678294198;11208324.1311672;5886157.46360529;3168579.84616542;366074.177005551;278370.112126792;216498.28709417;0.279134655853823;0.249591509995669;0.209950679644854;22073.1308402015;16442.6905618127;12386.6156691224
"ASSnone_HCR4_REClow_INNvar_OERnone_Ftgt0.064";2047;"ASSnone";"HCR4";"REClow";"INNvar";"OERnone";"Ftgt0.064";367009.143346716;279125.971467922;213002.747747708;21711.0413516909;16408.0261573544;12650.4842022159;1.23607072835585;0.988427127263359;0.841744002739452;0;0;0;NA;NA;NA;0.0711569119902444;0.0638152917304274;0.0539261334861052;21711.0413516909;16408.0261573544;12650.4842022159;1.23607072835585;0.988427127263359;0.841744002739452;11392770.3172617;6034464.97639408;3044526.4441528;367009.143346716;279125.971467922;213002.747747708;0.277146653873964;0.249396777355009;0.21174026052481;21711.0413516909;16408.0261573544;12650.4842022159
"ASSnone_HCR4_REClow_INNvar_OERnone_Ftgt0.064";2048;"ASSnone";"HCR4";"REClow";"INNvar";"OERnone";"Ftgt0.064";367761.028484357;279319.45440726;213350.757788885;22007.5645978824;16457.5674953463;12332.845709893;1.23604210497967;0.986256570740401;0.844762741259101;0;0;0;NA;NA;NA;0.071718849322651;0.0639716640592134;0.052820290969342;22007.5645978824;16457.5674953463;12332.845709893;1.23604210497967;0.986256570740401;0.844762741259101;11542249.5331195;5921087.16126235;3220125.78557513;367761.028484357;279319.45440726;213350.757788885;0.279262910691772;0.249989808356085;0.207510138095086;22007.5645978824;16457.5674953463;12332.845709893
"ASSnone_HCR4_REClow_INNvar_OERnone_Ftgt0.0643";2018;"ASSnone";"HCR4";"REClow";"INNvar";"OERnone";"Ftgt0.0643";182148.090416061;151128.259050105;125951.942729156;14060;14060;14060;0.641687415548619;0.641687415548619;0.641687415548619;0;0;0;NA;NA;NA;0.116612500888681;0.0953688732870885;0.07809002626358;14060;14060;14060;0.641687415548619;0.641687415548619;0.641687415548619;9157813.22542149;4625110.82902167;2362989.5944411;181750.24673146;150857.121333258;125793.903430875;0.444787688906751;0.367325709944111;0.303181047862897;14060;14060;14060
"ASSnone_HCR4_REClow_INNvar_OERnone_Ftgt0.0643";2019;"ASSnone";"HCR4";"REClow";"INNvar";"OERnone";"Ftgt0.0643";227718.252056302;162211.902243172;123409.126176583;11020.0782112889;8700.18510534649;6998.10162198036;0.783789346464363;0.618789836795625;0.497731267566171;0;0;0;NA;NA;NA;0.0774429349750804;0.0558331178727001;0.0418571116464059;11020.0782112889;8700.18510534649;6998.10162198036;0.783789346464363;0.618789836795625;0.497731267566171;9779430.16646255;4922357.62296414;2419753.2190705;227718.252056302;162211.902243172;123409.126176583;0.300758061163917;0.219022904870247;0.165257226065988;11020.0782112889;8700.18510534649;6998.10162198037
"ASSnone_HCR4_REClow_INNvar_OERnone_Ftgt0.0643";2020;"ASSnone";"HCR4";"REClow";"INNvar";"OERnone";"Ftgt0.0643";263846.359525824;178855.987669933;125827.601314377;14597.4965715478;9462.08698144398;6513.24328589526;1.58027044296912;1.08263578221402;0.819434471510846;0;0;0;NA;NA;NA;0.0777271145659814;0.0552710254381714;0.0400103097230583;14597.4965715478;9462.08698144398;6513.24328589526;1.58027044296912;1.08263578221402;0.819434471510846;10336335.1058162;5194524.45391245;2597686.53868441;263846.359525824;178855.987669933;125827.601314377;0.301822317193543;0.216877915491073;0.158101079830702;14597.4965715478;9462.08698144397;6513.24328589526
"ASSnone_HCR4_REClow_INNvar_OERnone_Ftgt0.0643";2021;"ASSnone";"HCR4";"REClow";"INNvar";"OERnone";"Ftgt0.0643";293132.196796866;202969.256674005;133258.933834184;15730.1054509951;10754.1642254692;6396.58751528411;1.54317111075856;1.09274520161111;0.747842817456078;0;0;0;NA;NA;NA;0.0661439899026259;0.0560285258275892;0.0436671999252912;15730.1054509951;10754.1642254692;6396.58751528411;1.54317111075856;1.09274520161111;0.747842817456078;11269496.5799301;5489309.29696657;2752551.81648873;293132.196796866;202969.256674005;133258.933834184;0.258219280708521;0.219768279853587;0.172238979229199;15730.1054509951;10754.1642254692;6396.58751528411
"ASSnone_HCR4_REClow_INNvar_OERnone_Ftgt0.0643";2022;"ASSnone";"HCR4";"REClow";"INNvar";"OERnone";"Ftgt0.0643";314641.910720448;222890.518921487;139880.638409687;17701.6146289835;12363.3884220328;6509.42041735408;1.50503334562186;1.10139065236326;0.868482541203596;0;0;0;NA;NA;NA;0.0684802661499217;0.058447619058229;0.0438531290449582;17701.6146289835;12363.3884220328;6509.42041735408;1.50503334562186;1.10139065236326;0.868482541203596;11044890.5351012;5609938.45740593;2943613.48942708;314641.910720448;222890.518921487;139880.638409687;0.267051330874372;0.228987745229267;0.172936373840195;17701.6146289835;12363.3884220328;6509.42041735408
"ASSnone_HCR4_REClow_INNvar_OERnone_Ftgt0.0643";2023;"ASSnone";"HCR4";"REClow";"INNvar";"OERnone";"Ftgt0.0643";335069.605876733;238417.939127752;152350.945276542;18893.1857972327;13216.4935530107;6690.06840937147;1.46482726909735;1.05161743355318;0.852210428491584;0;0;0;NA;NA;NA;0.0678233059306028;0.0586439109254293;0.0431098122013789;18893.1857972327;13216.4935530107;6690.06840937147;1.46482726909735;1.05161743355318;0.852210428491584;10861696.4466868;5730478.01861929;2874711.95068572;335069.605876733;238417.939127752;152350.945276542;0.264569695807471;0.229735890548618;0.170104431410292;18893.1857972327;13216.4935530107;6690.06840937147
"ASSnone_HCR4_REClow_INNvar_OERnone_Ftgt0.0643";2024;"ASSnone";"HCR4";"REClow";"INNvar";"OERnone";"Ftgt0.0643";335606.887124822;251073.836203274;163955.88085293;20264.9656239565;14507.0218023457;7717.40371405947;1.51595781456189;1.08808932141926;0.903770020845248;0;0;0;NA;NA;NA;0.0709484579165387;0.0619182264583501;0.0467003247711381;20264.9656239565;14507.0218023457;7717.40371405947;1.51595781456189;1.08808932141926;0.903770020845248;10694435.4590985;5919278.1587221;3131854.2414721;335606.887124822;251073.836203274;163955.88085293;0.276361337542904;0.242195402785582;0.183986657530045;20264.9656239565;14507.0218023457;7717.40371405947
